1993/06/08	1993/SN+//SP+06/SN+//SP+08/SN
내려갈	내려가/VV+ㄹ/ETM
일정한	일정/NNG+하/XSA+ㄴ/ETM
충격을	충격/NNG+을/JKO
받지	받/VV+지/EC
않기	않/VX+기/ETN
위한	위하/VV+ㄴ/ETM
안전기준이	안전/NNG+기준/NNG+이/JKS
그렇지	그렇/VA+지/EC
않을	않/VX+을/ETM
충격으로	충격/NNG+으로/JKB
후	후/NNG
물을	물/NNG+을/JKO
먹거나	먹/VV+거나/EC
익사할	익사/NNG+하/XSV+ㄹ/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF
다리에	다리/NNG+에/JKB
감겨	감기/VV+어/EC
잘리거나	잘리/VV+거나/EC
아사	아사/NNG
바늘삼켜	바늘/NNG+삼키/VV+어/EC
죽기도…	죽/VV+기/ETN+도/JX+…/SE
철저	철저/NNG
관리를	관리/NNG+를/JKO
낚시꾼들이	낚시/NNG+꾼/XSN+들/XSN+이/JKS
무심코	무심코/MAG
버린	버리/VX+ㄴ/ETM
낚싯줄과	낚싯줄/NNG+과/JC
낚싯바늘이	낚싯바늘/NNG+이/JKS
애꿎은	애꿎/VA+은/ETM
야생조류들의	야생/NNG+조류/NNG+들/XSN+의/JKG
생명을	생명/NNG+을/JKO
위협하고	위협/NNG+하/XSV+고/EC
낚싯줄이	낚싯줄/NNG+이/JKS
휘감기면서	휘감기/VV+면서/EC
다리가	다리/NNG+가/JKS
움직이지	움직이/VV+지/EC
굶어	굶/VV+어/EC
죽는가하면	죽/VV+는가/EC+하/VV+면/EC
미끼가	미끼/NNG+가/JKS
달린	달리/VV+ㄴ/ETM
낚싯바늘을	낚싯바늘/NNG+을/JKO
삼켜	삼키/VV+어/EC
목숨을	목숨/NNG+을/JKO
잃는	잃/VV+는/ETM
한국조류보호협회	한국조/NNP+류/XSN+보호/NNG+협회/NNG
보고되고	보고/NNG+되/XSV+고/EC
들어서도	들/VV+어서/EC+도/JX
미사리에서	미사리/NNP+에서/JKB
흰뺨	희/VA+ㄴ/ETM+뺨/NNG
검둥오리	검둥오리/NNG
2마리가	2/SN+마리/NNB+가/JKS
연줄에	연줄/NNG+에/JKB
몸이	몸/NNG+이/JKS
죽은	죽/VV+은/ETM
채	채/NNB
강물에	강물/NNG+에/JKB
떠내려	떠내리/VV+어/EC
왔으며	오/VX+았/EP+으며/EC
행주대교	행주대교/NNP
밑	밑/NNG
고수부지에서	고수부지/NNG+에서/JKB
다리	다리/NNG
날개가	날개/NNG+가/JKS
낚싯줄에	낚싯줄/NNG+에/JKB
휘감겨	휘감기/VV+어/EC
꼼짝도	꼼짝/MAG+도/JX
못하는	못하/VX+는/ETM
괭이갈매기	괭이갈매기/NNG
1마리가	1/SN+마리/NNB+가/JKS
주민에게	주민/NNG+에게/JKB
발견됐었다는	발견/NNG+되/XSV+었었/EP+다는/ETM
한국조류학회	한국조류학회/NNP
회장인	회장/NNG+이/VCP+ㄴ/ETM
원병오	원병오/NNP
경희대	경희대/NNP
교수도	교수/NNG+도/JX
야생조류를	야생/NNG+조류/NNG+를/JKO
관찰하던	관찰/NNG+하/XSV+던/ETM
중	중/NNB
입에	입/NNG+에/JKB
꿰이거나	꿰이/VV+거나/EC
목에	목/NNG+에/JKB
낚싯줄을	낚싯줄/NNG+을/JKO
두른	두르/VV+ㄴ/ETM
날아	나/VV+ㄹ/ETM+아/EC
다니는	다니/VV+는/ETM
괭이갈매기들을	괭이갈매기/NNG+들/XSN+을/JKO
차례	차례/NNG
목격했다고	목격/NNG+하/XSV+았/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF
낚시꾼들의	낚시/NNG+꾼/XSN+들/XSN+의/JKG
매너가	매너/NNG+가/JKS
환경	환경/NNG
보호에	보호/NNG+에/JKB
신경을	신경/NNG+을/JKO
수년	수년/NNG
전에	전/NNG+에/JKB
좋아졌다고	좋/VA+아/EC+지/VX+었/EP+다고/EC
말하는	말/NNG+하/XSV+는/ETM
낚시전문가	낚시/NNG+전문가/NNG
정찬호	정찬호/NNP
씨(35)는	씨/NNB+(/SS+35/SN+)/SS+는/JX
재미로	재미/NNG+로/JKB
잠시	잠시/MAG
낚시를	낚시/NNG+를/JKO
즐기는	즐기/VV+는/ETM
사람들	사람/NNG+들/XSN
중에	중/NNB+에/JKB
낚싯줄	낚싯줄/NNG
바늘	바늘/NNG
사후처리가	사후/NNG+처리/NNG+가/JKS
소홀한	소홀/NNG+하/XSA+ㄴ/ETM
같다	같/VA+다/EC
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF
낚시인구	낚시/NNG+인구/NNG
3백	3/SN+백/NR
50만명을	50/SN+만/NR+명/NNB+을/JKO
헤아리고	헤아리/VV+고/EC
바다낚시	바다낚시/NNG
쪽에	쪽/NNB+에/JKB
쏠리는	쏠리/VV+는/ETM
요즘,	요즘/NNG+,/SP
바늘의	바늘/NNG+의/JKG
철저한	철저/NNG+하/XSA+ㄴ/ETM
사후관리는	사후/NNG+관리/NNG+는/JX
더욱	더욱/MAG
중요할	중요/NNG+하/XSA+ㄹ/ETM
10m,	10/SN+m/SL+,/SP
때로는	때로/MAG+는/JX
40∼50m에	40/SN+∼/SO+50/SN+m/SL+에/JKB
이르는	이르/VV+는/ETM
릴	릴/MM
속에서	속/NNG+에서/JKB
바늘에	바늘/NNG+에/JKB
줄이	줄/NNG+이/JKS
끊어질	끊어지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
그만큼	그만큼/MAG
높기	높/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF
1993/07/10	1993/SN+//SP+07/SN+//SP+10/SN
속	속/NNG
체조…	체조/NNG+…/SE
아쿠아	아쿠아/NNP
로빅스	로빅스/NNP
비만	비만/NNG
디스크	디스크/NNG
좋아	좋/VA+아/EC
로빅스가	로빅스/NNP+가/JKS
국내에	국내/NNG+에/JKB
도입돼,	도입/NNG+되/XSV+어/EC+,/SP
운동으로	운동/NNG+으로/JKB
인기를	인기/NNG+를/JKO
물의	물/NNG+의/JKG
부력을	부력/NNG+을/JKO
팔	팔/VV+ㄹ/ETM
다리를	다리/NNG+를/JKO
자유	자유/NNG
자재로	자재/NNG+로/JKB
놀리는	놀리/VV+는/ETM
로빅스는	로빅스/NNP+는/JX
저항력	저항력/NNG
운동량이	운동량/NNG+이/JKS
많을	많/VA+을/ETM
아니라,	아니/VCN+라/EC+,/SP
이뤄져	이루어지/VV+어/EC
비만이나	비만/NNG+이나/JC
관절염,	관절염/NNG+,/SP
치료에도	치료/NNG+에/JKB+도/JX
효과적이라고	효과/NNG+적/XSN+이/VCP+라고/EC
보훈병원	보훈/NNG+병원/NNG
진영수	진영수/NNP
박사(체육학)는	박사/NNG+(/SS+체육학/NNG+)/SS+는/JX
물속	물속/NNG
관절에	관절/NNG+에/JKB
부담을	부담/NNG+을/JKO
않아	않/VX+아/EC
재활치료에서도	재활/NNG+치료/NNG+에서/JKB+도/JX
걷기	걷/VV+기/ETN
달리기	달리기/NNG
자주	자주/MAG
활용된다.	활용/NNG+되/XSV+ㄴ다/EF+./SF
몸무게를	몸무게/NNG+를/JKO
못	못/MAG
이겨	이기/VV+어/EC
무릎이나	무릎/NNG+이나/JC
허리부상을	허리/NNG+부상/NNG+을/JKO
당하기	당하/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
뚱뚱한	뚱뚱/MAG+하/XSA+ㄴ/ETM
사람이나	사람/NNG+이나/JC
환자들의	환자/NNG+들/XSN+의/JKG
운동으로도	운동/NNG+으로/JKB+도/JX
추천할	추천/NNG+하/XSV+ㄹ/ETM
만하다	만/NNB+하/XSA+다/EC
속에선	속/NNG+에서/JKB+ㄴ/JX
체중의	체중/NNG+의/JKG
부하가	부하/NNG+가/JKS
90%정도	90/SN+%/SW+정도/NNG
감소되므로	감소/NNG+되/XSV+므로/EC
노인층도	노인/NNG+층/XSN+도/JX
부상빈도가	부상/NNG+빈도/NNG+가/JKS
에어로빅에	에어로빅/NNG+에/JKB
안전하다는	안전/NNG+하/XSA+다는/ETM
비만자가	비만자/NNG+가/JKS
다치지	다치/VV+지/EC
맘껏	맘껏/MAG
놀려	놀리/VV+어/EF
살을	살/NNG+을/JKO
빼는	빼/VV+는/ETM
적당한	적당/XR+하/XSA+ㄴ/ETM
식이요법과	식이/NNG+요법/NNG+과/JKB
병행하면	병행/NNG+하/XSV+면/EC
좋은	좋/VA+은/ETM
효과를	효과/NNG+를/JKO
진박사는	진/NNP+박사/NNG+는/JX
운동량	운동량/NNG
많고	많/VA+고/EC
마사지	마사지/NNG
효과도	효과/NNG+도/JX
로빅스를	로빅스/NNP+를/JKO
전문적으로	전문/NNG+적/XSN+으로/JKB
20∼50분	20/SN+∼/SO+50/SN+분/NNB
강의하는	강의/NNG+하/XSV+는/ETM
곳은	곳/NNG+은/JX
서울의	서울/NNP+의/JKG
라마다	라마다/NNP
올림피아호텔,	올림피아호텔/NNP+,/SP
하얏트호텔	하얏트호텔/NNP
수영장	수영장/NNG
등이며,	등/NNB+이/VCP+며/EC+,/SP
가운데서도	가운데/NNG+서/JKB+도/JX
수영강습	수영/NNG+강습/NNG
전후에	전후/NNG+에/JKB
몸풀기	몸/NNG+풀/VV+기/ETN
정리운동으로	정리/NNG+운동/NNG+으로/JKB
가르치는	가르치/VV+는/ETM
곳이	곳/NNG+이/JKS
올림피아호텔	올림피아호텔/NNP
한승환	한승환/NNP
강사는	강사/NNG+는/JX
체조는	체조/NNG+는/JX
심폐지구력	심폐/NNG+지구력/NNG
향상은	향상/NNG+은/JX
혈액순환을	혈액/NNG+순환/NNG+을/JKO
돕는	돕/VV+는/ETM
마사지효과도	마사지/NNG+효과/NNG+도/JX
동작은	동작/NNG+은/JX
걷기,	걷/VV+기/ETN+,/SP
다리올리기	다리/NNG+올리/VV+기/ETN
40∼50가지이며	40/SN+∼/SO+50/SN+가지/NNB+이/VCP+며/EC
음악에	음악/NNG+에/JKB
맞춰서	맞추/VV+어서/EC
하기도	하/VV+기/ETN+도/JX
최고	최고/NNG
디자이너들이	디자이너/NNG+들/XSN+이/JKS
향수병	향수병/NNG
디자인으로	디자인/NNG+으로/JKB
경쟁을	경쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
속옷	속옷/NNG
마네킹을	마네킹/NNG+을/JKO
향수병으로	향수병/NNG+으로/JKB
만들어버린	만들/VV+어/EC+버리/VX+ㄴ/ETM
장	장/NNB
폴	폴/NNP
고티에의	고티에/NNP+의/JKG
향수,	향수/NNG+,/SP
고전적인	고전/NNG+적/XSN+이/VCP+ㄴ/ETM
지포라이터를	지포라이터/NNG+를/JKO
여성용	여성/NNG+용/XSN
바꿔버린	바꾸/VV+어/EC+버리/VX+ㄴ/ETM
파코	파코/NNG
라반의	라반/NNG+의/JKG
향수	향수/NNG
엑세스.	엑세스/NNG+./SF
섹시하고	섹시/NNG+하/XSA+고/EC
쇼킹한	쇼킹/XR+하/XSA+ㄴ/ETM
감각으로	감각/NNG+으로/JKB
선두를	선두/NNG+를/JKO
다투는	다투/VV+는/ETM
디자이너가	디자이너/NNG+가/JKS
내놓은	내놓/VV+은/ETM
향수는	향수/NNG+는/JX
속의	속/NNG+의/JKG
향기보다는	향기/NNG+보다/JKB+는/JX
손에	손/NNG+에/JKB
잡고	잡/VV+고/EC
향수병의	향수병/NNG+의/JKG
쇼킹경쟁을	쇼킹/NNG+경쟁/NNG+을/JKO
드러낸다.	드러내/VV+ㄴ다/EF+./SF
색상	색상/NNG
모양	등/NNB
애용	애용/NNG
사이에	사이/NNG+에/JKB
스포츠	스포츠/NNG
패션시계가	패션시계/NNG+가/JKS
유행이다.	유행/NNG+이/VCP+다/EF+./SF
80년대	80/SN+년대/NNB
청소년들에게	청소년/NNG+들/XSN+에게/JKB
인기가	인기/NNG+가/JKS
높았던	높/VA+았/EP+던/ETM
스포츠시계가	스포츠/NNG+시계/NNG+가/JKS
최근에는	최근/NNG+에/JKB+는/JX
모양과	모양/NNG+과/JC
색상으로	색상/NNG+으로/JKB
여성들에게	여성/NNG+들/XSN+에게/JKB
애용되고	애용/NNG+되/XSV+고/EC
대담한	대담/NNG+하/XSA+ㄴ/ETM
원색,	원색/NNG+,/SP
형광색에	형광/NNG+색/NNG+에/JKB
큼직한	큼직/XR+하/XSA+ㄴ/ETM
문자판이	문자판/NNG+이/JKS
패션시계는	패션/NNG+시계/NNG+는/JX
패션과	패션/NNG+과/JC
스포츠를	스포츠/NNG+를/JKO
추구하는	추구/NNG+하/XSV+는/ETM
젊은	젊/VA+은/ETM
여성들의	여성/NNG+들/XSN+의/JKG
구미에	구미/NNG+에/JKB
맞는다.	맞/VV+는다/EF+./SF
바닷속을	바닷속/NNG+을/JKO
얕게는	얕/VA+게/EC+는/JX
30m,	30/SN+m/SL+,/SP
깊게는	깊/VA+게/EC+는/JX
2백m까지	2/SN+백/NR+m/SL+까지/JX
차고	차/VV+고/EC
갈	가/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
방수성과	방수/NNG+성/XSN+과/JC
수압에	수압/NNG+에/JKB
견디는	견디/VV+는/ETM
힘이	힘/NNG+이/JKS
뛰어나다.	뛰어나/VA+다/EF+./SF
시계의	시계/NNG+의/JKG
하이라이트는	하이라이트/NNG+는/JX
문자판	문자판/NNG
위에	위/NNG+에/JKB
붙은	붙/VV+은/ETM
시간	시간/NNG
표지판.	표지판/NNG+./SF
0부터	0/SN+부터/JX
60까지	60/SN+까지/JX
숫자가	숫자/NNG+가/JKS
새겨진	새기/VV+어/EC+지/VX+ㄴ/ETM
회전판은	회전판/NNG+은/JX
시계	시계/NNG
방향과	방향/NNG+과/JC
거꾸로만	거꾸로/MAG+만/JX
움직이는	움직이/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
잠수했다가	잠수/NNG+하/XSV+았/EP+다가/EC
위로	위/NNG+로/JKB
올라가야	올라가/VV+야/EC
시간을	시간/NNG+을/JKO
지정하는	지정/NNG+하/XSV+는/ETM
쓰인다.	쓰이/VV+ㄴ다/EF+./SF
부분이	부분/NNG+이/JKS
색깔로	색깔/NNG+로/JKB
장식돼	장식/NNG+되/XSV+어/EC
실제로	실제로/MAG
잠수하는	잠수/NNG+하/XSV+는/ETM
쓰지	쓰/VV+지/EC
않더라도	않/VX+더라도/EC
보기에	보/VV+기/ETN+에/JKB
즐겁다.	즐겁/VA+다/EF+./SF
안에는	안/NNG+에/JKB+는/JX
날짜	날짜/NNG
요일	요일/NNG
표시하는	표시/NNG+하/XSV+는/ETM
작은	작/VA+은/ETM
문자판과	문자판/NNG+과/JC
바늘이	바늘/NNG+이/JKS
기능뿐만	기능/NNG+뿐/JX+만/JX
장식적	장식/NNG+적/XSN
가중시킨다.	가중/NNG+시키/XSV+ㄴ다/EF+./SF
해저에서	해저/NNG+에서/JKB
방수가	방수/NNG+가/JKC
되지만	되/VV+지만/EC
속에서는	속/NNG+에서/JKB+는/JX
야광	야광/NNG
기능이	기능/NNG+이/JKC
없기	없/VA+기/ETN
실제	실제/NNG
잠수용으로	잠수/NNG+용/XSN+으로/JKB
사용되지는	사용/NNG+되/XSV+지/EC+는/JX
짧게	짧/VA+게/EC
입을까.	입/VV+을까/EF+./SF
길게	길/VA+게/EC
엉덩이를	엉덩이/NNG+를/JKO
겨우	겨우/MAG
가릴	가리/VV+ㄹ/ETM
정도의	정도/NNG+의/JKG
초미니	초/XPN+미니/NNG
치마와	치마/NNG+와/JC
반바지가	반바지/NNG+가/JKS
거리를	거리/NNG+를/JKO
활보하고	활보/NNG+하/XSV+고/EC
있는가	있/VV+는가/EC
하면	하/VV+면/EC
복사뼈를	복사뼈/NNG+를/JKO
가리는	가리/VV+는/ETM
맥시	맥시/NNG
원피스와	원피스/NNG+와/JC
긴조끼,	긴조끼/NNG+,/SP
나팔	나팔/NNG
바지들이	바지/NNG+들/XSN+이/JKS
나란히	나란히/MAG
유행을	유행/NNG+을/JKO
타고	타/VV+고/EC
초미니와	초/XPN+미니/NNG+와/JC
맥시가	맥시/NNG+가/JKS
경쟁하는	경쟁/NNG+하/XSV+는/ETM
양극패션,	양극/NNG+패션/NNG+,/SP
중간	중간/NNG
길이의	길이/NNG+의/JKG
무난한	무난/XR+하/XSA+ㄴ/ETM
옷차림을	옷차림/NNG+을/JKO
찾는	찾/VV+는/ETM
여성들은	여성/NNG+들/XSN+은/JX
당황할	당황/NNG+하/XSV+ㄹ/ETM
형편이다.	형편/NNG+이/VCP+다/EF+./SF
원피스도	원피스/NNG+도/JX
몸에	몸/NNG+에/JKB
꼭붙어	꼭붙/VV+어/EC
몸매를	몸매/NNG+를/JKO
원피스	원피스/NNG
짧은	짧/VA+은/ETM
바지를	바지/NNG+를/JKO
입고	입/VV+고/EC
아랫	아랫/NNG
단추를	단추/NNG+를/JKO
풀어	풀/VV+어/EC
기분으로	기분/NNG+으로/JKB
겹겹	겹겹/MAG
패션을	패션/NNG+을/JKO
연출하는	연출/NNG+하/XSV+는/ETM
올해	올해/NNG
여름의	여름/NNG+의/JKG
경향이다.	경향/NNG+이/VCP+다/EF+./SF
발걸음을	발걸음/NNG+을/JKO
뗄	떼/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
슬쩍슬쩍	슬쩍슬쩍/MAG
드러나는	드러나/VV+는/ETM
각선미가	각선미/NNG+가/JKS
온통	온통/MAG
드러낸	드러내/VV+ㄴ/ETM
미니보다	미니/NNG+보다/JKB
오히려	오히려/MAG
매혹적이다.	매혹/NNG+적/XSN+이/VCP+다/EF+./SF
아래야	아래/NNG+야/JX
입든	입/VV+든/EC
입든,	입/VV+든/EC+,/SP
소매	소매/NNG
목을	목/NNG+을/JKO
시원하게	시원/XR+하/XSA+게/EC
드러내는	드러내/VV+는/ETM
공통점.	공통점/NNG+./SF
티셔츠,	티셔츠/NNG+,/SP
블라우스	블라우스/NNG
어느	어느/MM
것이고	것/NNB+이/VCP+고/EC
소매달린	소매/NNG+달리/VV+ㄴ/ETM
찾아	찾/VV+아/EC
보기가	보/VX+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
가슴을	가슴/NNG+을/JKO
깊게	깊/VA+게/EC
파고	파/VV+고/EC
어깨를	어깨/NNG+를/JKO
훤히	훤히/MAG
드러내	드러내/VV+어/EC
노출을	노출/NNG+을/JKO
최대한	최대한/NNG
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF
어떤	어떤/MM
옷이든	옷/NNG+이/VCP+든/EC
무난히	무난히/MAG
소화할	소화/NNG+하/XSV+ㄹ/ETM
서구화된	서구/NNP+화/XSN+되/XSV+ㄴ/ETM
많아지고,	많/VA+아/EC+지/VX+고/EC+,/SP
이들의	이/NP+들/XSN+의/JKG
과감한	과감/XR+하/XSA+ㄴ/ETM
옷입기가	옷/NNG+입/VV+기/ETN+가/JKS
중년여성	중년/NNG+여성/NNG
연령층으로	연령/NNG+층/XSN+으로/JKB
퍼져가고	퍼지/VV+어/EC+가/VX+고/EC
제목	제목/NNG
글씨	글씨/NNG
조화…	조화/NNG+…/SE
유럽서	유럽/NNP+서/JKB
각광	각광/NNG
신문을	신문/NNG+을/JKO
바른	바르/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
옷차림이	옷차림/NNG+이/JKS
유럽에서	유럽/NNP+에서/JKB
바람을	바람/NNG+을/JKO
일으키고	일으키/VV+고/EC
활자	활자/NNG
제목과	제목/NNG+과/JC
기사,	기사/NNG+,/SP
사진으로	사진/NNG+으로/JKB
이뤄진	이루어지/VV+ㄴ/ETM
신문은	신문/NNG+은/JX
무늬보다	무늬/NNG+보다/JKB
개성적이고	개성/NNG+적/XSN+이/VCP+고/EC
현대	현대/NNP
감각을	감각/NNG+을/JKO
보여준다며	보이/VV+어/EC+주/VX+ㄴ/ETM+다며/EC
옷에	옷/NNG+에/JKB
활용하고	활용/NNG+하/XSV+고/EC
사진은	사진/NNG+은/JX
파리	파리/NNP
모스키노	모스키노/NNP
디자인의	디자인/NNG+의/JKG
재킷과	재킷/NNG+과/JC
바지.	바지/NNG+./SF
1993/07/15	1993/SN+//SP+07/SN+//SP+15/SN
등산용품	등산/NNG+용품/NNG
재활용	재/XPN+활용/NNG
장터	장터/NNG
로프	로프/NNG
버너	버너/NNG
텐트	텐트/NNG
가격저렴…	가격/NNG+저렴/NNG+…/SE
발길	발길/NNG
줄이어	줄이/VV+어/EC
매주	매주/MAG
수요일	수요일/NNG
저녁	저녁/NNG
10만원이	10/SN+만/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
지름	지름/NNG
11㎜	11/SN+㎜/SW
길이	길/NNG+이/JKS
33m짜리	33/SN+m/SL+짜리/XSN
등산로프가	등산로프/NNG+가/JKS
5천원,	5/SN+천/NR+원/NNB+,/SP
40만원짜리	40/SN+만/NR+원/NNB+짜리/XSN
스키화가	스키/NNG+화/XSN+가/JKS
10만원,	10/SN+만/NR+원/NNB+,/SP
13만원짜리	13/SN+만/NR+원/NNB+짜리/XSN
텐트가	텐트/NNG+가/JKS
6만원,	6/SN+만/NR+원/NNB+,/SP
7만원짜리	7/SN+만/NR+원/NNB+짜리/XSN
등산화가	등산화/NNG+가/JKS
1만원….	1/SN+만/NR+원/NNB+…/SE+./SF
5시부터	5/SN+시/NNB+부터/JX
8시	8/SN+시/NNB
30분까지	30/SN+분/NNB+까지/JX
벼룩시장은	벼룩시장/NNG+은/JX
값싸고	값싸/VA+고/EC
물건이	물건/NNG+이/JKS
뭐가	뭐/NP+가/JKS
있나	있/VX+나/EC
찾아나온	찾/VV+아/EC+나오/VV+ㄴ/ETM
등산	등산/NNG
애호가들로	애호가/NNG+들/XSN+로/JKB
활기를	활기/NNG+를/JKO
띤다.	띠/VV+ㄴ다/EF+./SF
판매원	판매원/NNG
최경화	최경화/NNP
시중가와는	시중가/NNG+와/JKB+는/JX
비교도	비교/NNG+도/JX
물건들을	물건/NNG+들/XSN+을/JKO
필요한	필요/NNG+하/XSA+ㄴ/ETM
사람에게	사람/NNG+에게/JKB
중개하는	중개/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
정말	정말/MAG
즐겁다고	즐겁/VA+다고/EC
사레와	사레/NNG+와/JC
스포츠가	스포츠/NNG+가/JKS
일은	일/NNG+은/JX
장소	장소/NNG
제공과	제공/NNG+과/JKB
판매	판매/NNG
대행.	대행/NNG+./SF
중개료는	중개료/NNG+는/JX
않는다.	않/VX+는다/EF+./SF
사람이	사람/NNG+이/JKS
싶은	싶/VX+은/ETM
가격을	가격/NNG+을/JKO
정해오면	정하/VV+아/EC+오/VX+면/EC
팔아주고,	팔/VV+아/EC+주/VX+고/EC+,/SP
안팔리면	안/MAG+팔리/VV+면/EC
조정해주는	조정/NNG+하/XSV+아/EC+주/VX+는/ETM
정도.	정도/NNG+./SF
지금까지	지금/NNG+까지/JX
거래된	거래/NNG+되/XSV+ㄴ/ETM
물건은	물건/NNG+은/JX
70여점.	70/SN+여/XSN+점/NNB+./SF
5백원씩에	5/SN+백/NR+원/NNB+씩/XSN+에/JKB
나왔던	나오/VV+았/EP+던/ETM
89년형	89/SN+년/NNB+형/XSN
버너와	버너/NNG+와/JC
코펠이	코펠/NNG+이/JKS
인기였다.	인기/NNG+이/VCP+었/EP+다/EF+./SF
즉석에서	즉석/NNG+에서/JKB
새임자	새임자/NNG
만나	만나/VV+아/EC
배낭,	배낭/NNG+,/SP
침낭도	침낭/NNG+도/JX
팔리는	팔리/VV+는/ETM
품목이고	품목/NNG+이/VCP+고/EC
아이젠과	아이젠/NNG+과/JC
오리털	오리털/NNG
등산복	등산복/NNG
겨울	겨울/NNG
산행용품도	산행/NNG+용품/NNG+도/JX
팔러나온	팔/VV+러/EC+나오/VV+ㄴ/ETM
임자를	임자/NNG+를/JKO
만날	만나/VV+ㄹ/ETM
호응을	호응/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF
지금	지금/MAG
남아	남/VV+아/EC
물건	물건/NNG
가운데는	가운데/NNG+는/JX
등산화,	등산화/NNG+,/SP
암벽화	암벽화/NNG
신발	신발/NNG
시중서	시중/NNG+서/JKB
몇만원씩	몇/MM+만/NR+원/NNB+씩/XSN
RF	RF/SL
암벽화가	암벽화/NNG+가/JKS
1천원에	1/SN+천/NR+원/NNB+에/JKB
최씨는	최/NNP+씨/NNB+는/JX
사람	사람/NNG
개발보다	개발/NNG+보다/JKB
개발이	개발/NNG+이/JKS
급하다고	급하/VA+다고/EC
대상	대상/NNG
황규호	황규호/NNP
씨	씨/NNB
한겨울에	한/XPN+겨울/NNG+에/JKB
생선을	생선/NNG+을/JKO
먹고	먹/VV+고/EC
싶다는	싶/VX+다는/ETM
어머니	어머니/NNG
말에	말/NNB+에/JKB
강가	강가/NNG
깨고	깨/VV+고/EC
낚시질해	낚시/NNG+질/XSN+하/XSV+아/EC
고기를	고기/NNG+를/JKO
구워드렸다.	굽/VV+어/EC+드렸/VX+다/EF+./SF
민심을	민심/NNG+을/JKO
살피러	살피/VV+러/EC
임금님이	임금/NNG+님/XSN+이/JKS
모습을	모습/NNG+을/JKO
돌밭(박석고개)을	돌밭/NNG+(/SS+박석고개/NNP+)/SS+을/JKO
하사했는데,	하사/NNG+하/XSV+았/EP+는데/EC+,/SP
청년은	청년/NNG+은/JX
이를	이/NP+를/JKO
일구어	일구/VV+어/EC
어머니와	어머니/NNG+와/JKB
행복하게	행복/NNG+하/XSA+게/EC
살았다	살/VV+았/EP+다/EC
.	./SW
황씨는	황/NNP+씨/NNB+는/JX
자신이	자신/NNG+이/JKS
어려서	어리/VA+어서/EC
들은	들/VV+은/ETM
이야기가	이야기/NNG+가/JKC
어린이들에게	어린이/NNG+들/XSN+에게/JKB
소박한	소박/XR+하/XSA+ㄴ/ETM
효자의	효자/NNG+의/JKG
마음을	마음/NNG+을/JKO
같아	같/VA+아/EC
5분짜리	5/SN+분/NNB+짜리/XSN
구연동화로	구연/NNG+동화/NNG+로/JKB
각색했다고	각색/NNG+하/XSV+았/EP+다고/EC
옛이야기에	옛이야기/NNG+에/JKB
5살짜리	5/SN+살/NNB+짜리/XSN
아들에게도	아들/NNG+에게/JKB+도/JX
전래동화를	전래/NNG+동화/NNG+를/JKO
들려준다고	들려주/VV+ㄴ/ETM+다고/EC
자꾸	자꾸/MAG
이기적이고	이기/NNG+적/XSN+이/VCP+고/EC
물질적으로	물질/NNG+적/XSN+으로/JKB
돼가는	되/VV+어/EC+가/VX+는/ETM
어린이들에겐	어린이/NNG+들/XSN+에게/JKB+ㄴ/JX
이야기	이야기/NNG
교육이	교육/NNG+이/JKS
절실하다고	절실/XR+하/XSA+다고/EC
1993/07/20	1993/SN+//SP+07/SN+//SP+20/SN
청소년	청소년/NNG
상담역	상담역/NNG
곧	곧/MAG
등장	등장/NNG
서울YMCA	서울/NNP+YMCA/SL
마련…	마련/NNG+…/SE
가을부터	가을/NNG+부터/JX
활동	활동/NNG
고등학생들이	고등학생/NNG+들/XSN+이/JKS
또래의	또래/NNG+의/JKG
고등학생	고등학생/NNG
상담자로	상담자/NNG+로/JKB
나선다.	나서/VV+ㄴ다/EF+./SF
상담훈련을	상담/NNG+훈련/NNG+을/JKO
받은	받/VV+은/ETM
청소년들이	청소년/NNG+들/XSN+이/JKS
가지	가지/NNB
쉼터를	쉼터/NNG+를/JKO
청소년들을	청소년/NNG+들/XSN+을/JKO
돕는다는	돕/VV+는다는/ETM
상담자	상담자/NNG
교육은	교육/NNG+은/JX
우리들의	우리/NP+들/XSN+의/JKG
이야기,	이야기/NNG+,/SP
내가	내/NP+가/JKS
상황에	상황/NNG+에/JKB
놓여	놓이/VV+어/EC
있다면,	있/VV+다면/EC+,/SP
의사소통	의사소통/NNG
훈련,	훈련/NNG+,/SP
